latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.86615,43.48669,313.06,0.49,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,287.79,1.53,N
36.86954,43.49089,332.8,0.49,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,289.48,3.23,N
36.87079,43.49302,315.17,0.49,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,288.62,2.09,N
36.88807,43.43319,301.69,0.49,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,286.17,0.69,N
36.88976,43.42732,300.35,0.48,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,285.35,0.69,N
36.8938,43.43568,298.04,0.49,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,285.77,0.69,N
36.8955,43.42978,299.16,0.48,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,285.94,0.69,N
36.90635,43.39209,318.99,0.48,0.65,2026-09-22,3,N,VIIRS,n,2.0NRT,285.87,1.89,N
37.08023,42.55702,308.14,0.43,0.62,2026-09-22,3,N,VIIRS,n,2.0NRT,290.97,1.5,N
37.24163,42.28813,318.46,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.27,1.76,N
37.24287,42.2836,302.25,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,287.59,1.66,N
37.24459,42.29927,338.39,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,289.85,2.89,N
37.24584,42.29471,324.65,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.87,3.08,N
37.24708,42.29018,309.0,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.38,3.08,N
37.24833,42.28565,305.19,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.06,1.68,N
37.25,42.30149,299.27,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.22,2.89,N
37.25125,42.29692,326.81,0.41,0.61,2026-09-22,3,N,VIIRS,n,2.0NRT,288.33,3.08,N
37.86479,40.1438,303.26,0.62,0.54,2026-09-22,3,N,VIIRS,n,2.0NRT,286.43,3.52,N
37.86617,40.14387,310.48,0.62,0.54,2026-09-22,3,N,VIIRS,n,2.0NRT,286.48,2.94,N
